下午3:59 - 2017年11月30日," What are the SDGs? Well.... @UNACanada #TeachSDGspic.twitter.com/iZApa7Ir8g "
上午3:58 - 2017年11月24日," We up today to lead an awareness session on #SDGs at the Universit? Houphouet Boigny #CIVpic.twitter.com/2g287VtsxV "
上午3:53 - 2017年11月24日," "Elected local governments are critical for public accountability on the operationalization of the SDGs at the... http://fb.me/6SsqR7kBC? "
上午3:51 - 2017年11月24日," How to make a Safer Future for Our Children - by Catherine Pearce  https://buff.ly/2iF2Vyd? @Good_Policies #SDGs #climatechangepic.twitter.com/QmKXI4WU5i "
上午3:50 - 2017年11月24日," This is a conversation we should all be having. #SDGs https://twitter.com/againstdisaster/status/934021357377073152?? "
上午3:47 - 2017年11月24日," In September 2015, the #UnitedNations ambitiously announced a goal of halving worldwide #foodwaste and substantially reducing global food loss by 2030 as part of its #SDGs agenda.#SDG12 https://sustainabledevelopment.un.org/sdg12? "
上午3:46 - 2017年11月24日," Thought-provoking op-ed by @raj_devex on why the #SDGs are at risk unless we rethink the global food system http://plantwi.se/2iLML6e? via @devexpic.twitter.com/0Y16JpbzLG "
上午3:38 - 2017年11月24日," Excellent! It is clear that Nepal business community recognises the critical need for each nation to contribute to the SDGs and for such contributions to be shared between the public and private sectors https://twitter.com/renaudmeyer/status/933504861026402304?? "
上午3:38 - 2017年11月24日," At #AidEx2017 last week, #Belgium's Deputy PM @alexanderdecroo said in order to achieve UN #SDGs by 2030, we must shift development aid from giving to investing. Can profit-making in the development sector be a good thing & if so, how can we make it work? https://www.devex.com/news/q-a-sustainable-development-should-be-profitable-says-belgian-minister-91577?? "
上午3:37 - 2017年11月24日," Highlights of #YGLW organised w/Ministry of Nature Protection & Yerevan Municipality, & aimed @ raising awareness on #energyefficient & #environmentally-friendly #lighting solutions. #SDGs #GlobalGoalshttps://youtu.be/IeWratgmhpY? "
上午3:36 - 2017年11月24日," Proud to share 197 new innovative solutions to the #UN #SDGs developed by our amazing talents during #UNLEASHLAB2017. Check them out at http://www.unleash.org/solution-catalogue??! #Sustainability #GlobalGoalspic.twitter.com/prOywvHlfS "
上午3:33 - 2017年11月24日," #StartupGurukool #fellow @Sahanawaj92 in a meeting with the #lac #entrepreneurs framing the #business #model of the Lac production in the region and discussing the potential #opportunities #challenges involved in the venture #SDGs #Rural #India #NoPoverty #Jharkhandpic.twitter.com/dQp9HyzNEa "
上午3:32 - 2017年11月24日," Women & Girls: Malawi?s Abandoned Child Brides Are Turning to Sex Work as Their ?Only Option? #SDGs #ChildSex #...http://crwd.fr/2mHf6z1? "
上午3:28 - 2017年11月24日," SOTE aims to improve the lives of disadvantaged rural communities in Tamil Nadu #India through #sustainable community-led projects #globaldev #SDGs pic.twitter.com/Ab4ne2muXG "
上午3:27 - 2017年11月24日," #MAPS mission wraps up and agreed with government and public organizations the key areas to accelerate #SDGs achievement in Turkmenistan pic.twitter.com/ng9xQFZ7YX "
上午3:26 - 2017年11月24日," @PaoloDFarah "Trade & Environment: An Analysis of the Unfinished WTO Environmental Goods Agreement (EGS) in Conjunction with the SDGs and the Paris Agreement" at @univgroningen http://www.glawcal.org.uk/events/international-law-for-the-sustainable-development-goals??pic.twitter.com/YgEnyzFByH "
上午3:25 - 2017年11月24日," Children from Sahakari School, Bangalore, India, had their first hands-on learning experience at Brillio Science Fair. http://bit.ly/2B8bhFs? #SDGs #CSRpic.twitter.com/NWgFJlBGsm "
上午3:24 - 2017年11月24日," Important resource for Nepal Business Coalition 4 #SDGs to guide private sector contribute to #sustainabledevelopment #NepalBiz4SDGs @UNDPNepal @UN_Nepal @fncci_nepal @golchha_shekhar @IBNOfficehttps://twitter.com/globalcompact/status/933842356377391104?? "
上午3:23 - 2017年11月24日," #AHSymposium. We will not achieve SDGs without addressing adolescent health issues "
上午3:21 - 2017年11月24日," Three days until the workshop on #urbanmobility & #SDGs at #citiesforum2017 in Rotterdam - http://bit.ly/2zUK63H?pic.twitter.com/VNwt2g7Vg8 "
上午3:20 - 2017年11月24日," "Worldwide, better use of data and technology could have immense impact on achievement of the Sustainable Development Goals and Paris Agreement." #SDGs? #resilience "
上午3:11 - 2017年11月24日," Judith Batchelar: If the #SDGs are delivered globally, we could realise $12 trillion in opportunities #JSFC17 "
上午3:09 - 2017年11月24日," Given the SDGs before us, an ambitious climate deal&the urgent need to continually advance democracy especially on the African continent the partnership between the AU&EU will b critical in achieving gains @P_VanDamme_EU @euinzim @roadtoabidjan @LvNoYuthBehind @BishowParajulipic.twitter.com/QdFnkIYZP6 "
上午3:08 - 2017年11月24日," Business Development Fund for women should be reviewed #RWN20years #SDGs #SDGsRW @MIGEPROF @NewTimesRwanda "
上午3:06 - 2017年11月24日," "By reaching #sdg5 & #sdg16 we contribute to reach the entire #2030agenda. It is our responsibility to come out our comfort zone and look at #sdgs in conjunction."- @islernadia @dcafgenderpic.twitter.com/fzcCcKTqEu "
上午3:05 - 2017年11月24日," New on my blog! #SustainableBusiness Addressing Inequality and Saving the Oceans one Carpet tile at a time http://crwd.fr/2gUC2sr? #SDGs pic.twitter.com/qDGIgMlPAh "
上午3:04 - 2017年11月24日," #CashlessSocieties #SDGs Digital Financial Services to achieve #FinancialInclusion #SDG1 @UPU_UN @SDGoals @tech_mahindrahttps://twitter.com/MahindraComviva/status/933993058160353280?? "
上午3:02 - 2017年11月24日," Getting #AI for #SDGs is currently a pipe dream b/c AI?s primary purpose for the near #future is to maximize #profits.... but we are trying hard! @un_sif #impinv @AI4Good @PartnershipAI @aiwwhttp://bigthink.com/robby-berman/how-artificial-intelligence-is-eating-democracy?? "
上午3:02 - 2017年11月24日," Los alumnos de PMAR se unen al proyecto #IESGlobalGoals. ?Bravo! @avanecarazo #ObjetivosDeDesarrolloSostenible - PMAR students join our #GlobalGoals project. Go, kids! #SDGs @TeachSDGspic.twitter.com/khBQO4KcKO "
上午3:00 - 2017年11月24日," Did you know: #agriculture is the world?s biggest industry, employing 40% of today?s global population.   That?s why developing #sustainable #ag systems to tackle the #SDGs is central to feeding a hungry planet! #FridayFactpic.twitter.com/AhTcysM4Yz "
上午3:00 - 2017年11月24日," "Designers are better equipped than any other profession to offer solutions to issues such as pollution, climate change and depletion of resources." #SustainableDesign #SustainableArchitecture #SDGs @BabettePorcelyn @dezeenhttps://www.dezeen.com/2017/11/22/babette-porcelijn-hidden-impact-interview-designers-change-world-good-design-bad-world/?? "
上午2:58 - 2017年11月24日," Presentations of @UnescoIHE staff during the field visit as part of the global workshop on #monitoringSDG6. #globalgoals #SDGs pic.twitter.com/diHpdWCDKP "
上午2:58 - 2017年11月24日," Great conversation happening during the #RWN20years #SDGs #womenhttps://twitter.com/RwandaWomenNet/status/934009962271068160?? "
上午2:58 - 2017年11月24日," #Poll | Do you...  #SmallChangeBigDifference #SayNoToFoodWastage #SocialChange #ResponsibleCitizenship #SDGs #SDG12 #ZeroHunger "
上午2:57 - 2017年11月24日," A first for @UNDPNamibia by formalising a partnership with the University of Namibia implementing, monitoring and evaluating programmes related to the @SDGoals #SDGs pic.twitter.com/rVsqWSTn9C "
上午2:54 - 2017年11月24日," #StKitts & #Nevis Prime Minister Dr. Timothy Harris presented his country?s vision for the level of #climateresilience and support required to achieve the 2030 Sustainable Development Goals (#SDGs) at yesterday?s CARICOM-UN High-Level Pledging Conference http://www.thestkittsnevisobserver.com/regional-international-news/pm-harris-joins-un-secretary-general-in-calling-for-new-better-approach-to-assist-caribbeans-development/?? "
上午2:54 - 2017年11月24日," Ms. @islernadia, Director of the @SDGLab, providing closing remarks by further discussing the #SDGS and the steps ahead #SDG16and5 #SDG16 #SDG5 #GenderSecurity #GenderEqualitypic.twitter.com/N41eJEjKYv "
上午2:52 - 2017年11月24日," "India does not need #GPEDC to present its contribution to global public goods & #SDGs" @Sachin_Chat of @RIS_NewDelhi @NeST_SSC at @DIE_GDI @OECDdev @DevCooperation #ssc discussions - curious if same for dialogue on #devcoop & monitoring? http://die-gdi.de/en/events/towa??https://twitter.com/sachin_chat/status/934009450494615553?? "
上午2:52 - 2017年11月24日," @JudithBatchelar on the opportunity of #SDGs for innnovation. Our call to action  #JSFC17 https://t.co/jqIzETigiK?amp=1pic.twitter.com/jrkCgwPSWT "
上午2:50 - 2017年11月24日," Education system vs healthcare system: The role of medical education in achieving the SDGs agenda  @WHSS2017 #WHSSKigali17 "
上午2:49 - 2017年11月24日," "The participation of men and boys is crucial to achieving the SDGS... Particularly #SDG5. Gender equality is about breaking social norms." -Ms. Christine L?w @UN_Women #SDG16and5 #SDG16 #SDG5 #GenderSecurity #GenderEquality "
上午2:47 - 2017年11月24日," Aligning @sainsburys sustainability plans to SDGs offers many opportunities @JudithBatchelar #JSFC17pic.twitter.com/ORWjSnIKN3 "
上午2:46 - 2017年11月24日," Mapping our Sustainability Plan against the UN SDGs #jsfc17pic.twitter.com/tnqWIjJjxL "
上午2:45 - 2017年11月24日," Panel discussions & questions on SDGs... pic.twitter.com/OQwVfB0oke "
上午2:44 - 2017年11月24日," #GCCS2017 session on Cyber Diplomacy for Prosperity: Digital Economy And Implementation of SDGs pic.twitter.com/E5Io6ltGnH "
上午2:44 - 2017年11月24日," Positive thinking: @tori_utley, CEO @tinua_co & @MoreThanAddicts, Managing Editor @MayoClinic with 7 Things Every #SocialEntrepreneur Can Be Grateful For This Year via @forbes https://www.forbes.com/sites/toriutley/2017/11/23/7-things-every-social-entrepreneur-can-be-grateful-for-this-year/#55adc09d64a1#SocEnt?? #SDGs #SocImpact #21Biz #CSR "
上午2:42 - 2017年11月24日," The new global framework rooted in realities on the ground with all countries accountable for progress including @Canada, #Indonesia & #timorleste #SDGAction #SDGs @CanadaDev #UNhttps://twitter.com/sdg2030/status/933460009228349441?? "
上午2:42 - 2017年11月24日," From #metoo to #wedo - In Hanoi, girls have adapted the city to their needs using #Minecrafts #blockbyblock. In our digital world map there are more global examples where girls? situation improved: http://globalutmaning.se/interactive-map? #UrbanGirlsMovement #SDGs pic.twitter.com/BoT7jQR47I "
上午2:42 - 2017年11月24日," #SDG1 #HumansOfMYWorld #Yemen: "My children forgot about me...they left me at an age when I can't take care of myself anymore." Have your say on #SDGs at http://myworld2030.org? / http://bit.ly/2mXsak2? / More stories: http://facebook.com/humansofmyworld? #ACT4SDGs #GlobalGoals #HOMYpic.twitter.com/yaRDlix8Vi "
上午2:42 - 2017年11月24日," Check out this year's @GNReport and understand how close we are to achieving the #SDGs. Better nutrition yield higher GDP, improves equality and leads to #peace and stability. Starts here:  https://www.globalnutritionreport.org/files/2017/11/Report_2017.pdf?? "
上午2:41 - 2017年11月24日," #SDG1 #HumansOfMYWorld #Yemen: "My children forgot about me...they left me at an age when I can't take care of myself anymore." Have your say on #SDGs at http://myworld2030.org? / http://bit.ly/2mXsak2? / More stories: http://facebook.com/humansofmyworld? #ACT4SDGs #GlobalGoals #HOMYpic.twitter.com/6oS8C3RL6X "
上午2:38 - 2017年11月24日," @raj_devex Saw your piece on the global food system and the SDGs and thought you might be interested in the 2017 Global Nutrition Report. Check it out here: http://bit.ly/GNR_R_2017? "
上午2:38 - 2017年11月24日," More companies are expected to align sustainability strategies with SDGs http://swissre.smh.re/2HJ? "
上午2:38 - 2017年11月24日," TWITTER CHAT > on Mon, 27 Nov we will be asking for your questions & reflections on community involvement with the SDGs. We'll share these with our panel of community speakers & global policy actors at #ICASA2017 at the PITCH Open Dialogue. Follow #CommunitySDGs 11am (GMT) Mondaypic.twitter.com/lAt0EY3cSW "
上午2:37 - 2017年11月24日," Sun: Visiting 'Armageddon' of homes, farms + businesses hit by Hurricane Maria in the Caribbean, Prince Charles says ?Some people seem to think it?s somehow a threat to undermine capitalism if you mention climate change: It isn?t." https://www.thesun.co.uk/news/4987150/prince-charles-threat-to-the-world/?? #COP23 #SDGs #OnePlanet "
上午2:37 - 2017年11月24日," "We should move from focusing on teaching Curative Medicine to Preventive Medicine toward the SDGs, #UHC." Said Pof.Kyamanywa. @UR_CMHS "
上午2:30 - 2017年11月24日," FFC organizes session on better business practices to meet SDGs https://goo.gl/fb/kU6Cfj? "
上午2:30 - 2017年11月24日," [WEBINAR] Communicating the #SDGs: ? What?s hot, what?s not, where?s the impact? with @SalterbaxterMSL on Wednesday, December 6th at 12:00pm EST. Register on: http://ow.ly/YFwp30gIX9z?pic.twitter.com/AGNzJuclSX "
上午2:30 - 2017年11月24日," #2018 #EGCalendars BUY them GIFT them! With #Photographs by #ChildrenOfIndia #EternalGanges #SDGs #SustainableDevelopmentGoals #SnapAndZapPhotoContestpic.twitter.com/Gv4fhudoQ8 "
上午2:27 - 2017年11月24日," #SDGs @UBS lance un #fonds actions onshore en Chine _http://sco.lt/8VV8kL? "
上午2:26 - 2017年11月24日," #LocalGovernment has a huge role to play in achieving #2030Agenda #SDGs. It needs to be empowered to act, to be inclusive & responsive, to have zero tolerance of corruption, plan for sustainability, & innovate in financing. My... http://www.clgf.org.uk/whats-new/news/keynote-speech-from-rt-hon-helen-clark/?? ? by #wheelsofhoperis "
上午2:26 - 2017年11月24日," The International Guidelines on Urban and Territorial Planning #IGUTP are an excellent principle-based tool to accelerate the implementation of the #NewUrbanAGenda #planningguidelines #SDGs -- They were produced with strong inputs and support from @UNHABITAT @uclg_org @ISOCARPhttps://twitter.com/Andy_Oyu/status/933997213084274688?? "
上午2:25 - 2017年11月24日," Introduction on Education system vs healthcare system in context of SDGs by Prof Patrick  #WHSS2017 #WHSSKigali17 "
上午2:22 - 2017年11月24日," @RwandaWomenNet panel discussion on SDGs pic.twitter.com/XBMAhTgV3B "
上午2:19 - 2017年11月24日," #Blockchain Will Completely Revolutionize  How We Run The World #SDGs #trust #inclusivehttps://futurism-com.cdn.ampproject.org/c/s/futurism.com/blockchain-is-set-to-make-the-world-better/amp/?? "
上午2:19 - 2017年11月24日," Are you interested in #ClimateAction & #SDGs? Then track Green Economy Country Progress! @PAGExchange https://page-annual-report.org/?pic.twitter.com/Rh04XObbZe "
上午2:17 - 2017年11月24日," Training matters. The private sector says so.  GM of Tirana?s high class Plaza Hotel says training needs to be continuous. This is capacity building. This is development. Private sector is needed for #SDGs. pic.twitter.com/Q2wcElrxKx "
上午2:17 - 2017年11月24日," #2030Agenda apparently no special incentive to join #GPEDC, as "everyone is discussing #SDGs" now days - and there are other Forums to engage with or report on SDGs. "
上午2:16 - 2017年11月24日," #LocalGovernment has a huge role to play in achieving #2030Agenda #SDGs. It needs to be empowered to act, to be inclusive & responsive, to have zero tolerance of corruption, plan for sustainability, & innovate in financing. My... http://www.clgf.org.uk/whats-new/news/keynote-speech-from-rt-hon-helen-clark/?? by #wheelsofhoperispic.twitter.com/SQBokxy1xj "
上午2:15 - 2017年11月24日," .@NYCMayor to Block eBike Transition to Net Zero Transit  Now is critical, not decades from now  #ActOnClimate w #PeopleWays #netzeroNYC2020 #SDGs #CarFreeNYC #CarFreeMegaCities #VisionZero @ClimateRealityhttps://nyc.streetsblog.org/2017/11/22/delivery-workers-confront-de-blasio-over-e-bike-crackdown/?? "
上午2:14 - 2017年11月24日," Embracing SDGs and Environmental Protection in the UK http://crwd.fr/2zSaX0u? "
上午2:14 - 2017年11月24日," We'll be joining #NatCap17 on Monday towards a sustainable economy and the #SDGs #BusinessandBiosphere #BiosphereReserveshttps://twitter.com/ScotNatCap/status/918510324080406528?? "
上午2:13 - 2017年11月24日," @UNSDSN @Impact @JeffDSachs @SDG_Academy. The World needs more of this kind of engagement with the #SDGs. Congrats Newcastle. "
上午2:10 - 2017年11月24日," Taking my seat at #GCCS2017 panel to talk about #AusCyberAffairs & using #CyberDiplomacy for implementation of #SDGs  @gccsofficialpic.twitter.com/hJIW7asLkk "
上午2:10 - 2017年11月24日," #Qualityeducation the base for #sustainabledevelopment #SDGs #agenda2030 @ASviSItalia #EUVocationalSkillspic.twitter.com/hwVzCSS8LJ "
上午2:08 - 2017年11月24日," FridayReading: >35% of unemployed pop in the world are young people - Overall economic growth still disconnected from #youth #employment, esp. in #EmergingMarkets. #SDGs @ilo Report http://www.ilo.org/global/about-the-ilo/newsroom/news/WCMS_597065/lang--en/index.htm??pic.twitter.com/Q8sl7ATDcc "
上午2:08 - 2017年11月24日," #SocEnt for community health, driving the #SDGs #SustainableDevelopmenthttps://twitter.com/Senscot/status/933711280371847170?? "
上午2:08 - 2017年11月24日," Tomorrow is International Day for the Elimination of Violence against Women. Ending violence against women & girls helps build peace, security, and achieve the SDGs. #SDG5 #Target2 #Envision2030 #VAWpic.twitter.com/WbWYhc0hjH "
上午2:07 - 2017年11月24日," Europe on its way to achieving 100% sustainable #palmoil https://www.idhsustainabletrade.com/news/europe-way-achieving-100-sustainable-palm-oil/?? @IDH_buzz #SDGs "
上午2:07 - 2017年11月24日,"  Retweet for contributing to meeting Aichi Biodiversity Targets  Like for contributing to Sustainable Development Goals #SDGs  See the story from #GFCmember Nepal: http://bit.ly/2n1AVtw?pic.twitter.com/E75pqjMjGJ "
上午2:06 - 2017年11月24日," @RwandaWomenNet "Grassroots conversation on SDGs" "
上午2:03 - 2017年11月24日," Daniel Franks @UNDP kicking off 2nd day @geolsoc #Lovell17: how can development minerals be used to achieve #SDG? And how might we manage impacts on #SDGs "
上午2:01 - 2017年11月24日," @SustHomes is now a partner of @ukssdnetwork ? driving action for the Sustainable Development Goals in the UK. Check out our partner page and find out what we're doing about the #SDGs https://hubs.ly/H09gpTm0?pic.twitter.com/l6A0qkEdod "
上午1:58 - 2017年11月24日," Whilst not without its challenges, it's worth reflecting on #montrealprotocol It is possible to come together and change how humanity acts - we need to be guided by #science & up our level of collaboration to acheive #thefuturewewant #sdgs https://twitter.com/ErikSolheim/status/933723867796901888?? "
上午1:55 - 2017年11月24日," Cutting out the #BS requires #Sustainability development to be actualized through activities. Not just #brand association  #Procurement #ResponsibleSourcing #ESG #Compliance #SRM #SDGs #SCM #SupplyChain #KNOWLEDGEhttps://medium.com/@KodiakRating/actualizing-sustainability-starts-with-avoiding-the-corporate-social-bullsh-139d1451b970?? "
上午1:53 - 2017年11月24日," #qualityeducation sets the path to #sustainabledevelopment #SDGs @GlobalGoalsUN @SDGaction @ConnectSDGs @GCNLebanon "
上午1:53 - 2017年11月24日," @_DanielFranks crushing the "low-value" stigma. 84% all global min prod. is #DevelopmentMinerals. Agg. mkt value alone worth $600+ billion! @DevelopmentMin key to achieving #SDGs. #Lovell17pic.twitter.com/a2UxLvfABV "
上午1:51 - 2017年11月24日," #Sustainable #waste #management & #resource #efficiency is imperative in ensuring responsible consumption & production patterns  #Goal12 #GlobalGoals #SDGs #Agenda2030https://twitter.com/UNEP/status/933606066251796482?? "
上午1:51 - 2017年11月24日," Would your organisation benefit from a free evaluation of the #SDGs ? Click here https://hone.typeform.com/to/ie7WZz?pic.twitter.com/pDjxgvynox "
上午1:49 - 2017年11月24日," GCCS2017 Cyber Diplomacy for Prosperity- Digital Economy and Implementation of SDGs #GCCS2017 @mrtlgu @fpmvoce @francescom_talo @ItalyinIndiapic.twitter.com/UERSsO75Vn "
上午1:48 - 2017年11月24日," .@MarsGlobal recognises pre-competitive collaboration vital to meet UN Sustainability Goals https://www.foodnavigator-asia.com/Article/2017/11/23/Mars-boss-to-competitors-Let-s-collaborate-to-meet-UN-Sustainability-Goals?? @SustDev #GlobalGoals #SDGs "
上午1:45 - 2017年11月24日," Bit of a simplistic overview, but great to see @ons engaging with the #SDGs: 'Renewable energy in the UK' http://www.slideshare.net/statisticsONS/renewable-energy-in-the-uk?? "
上午1:44 - 2017年11月24日," Great start to the #DCAF #UNOG seminar on leveraging #SDG16 to improve implementation of #SDG5 - keynote speech @UNOG_DG ?successful conflict prevention & women?s empowerment are co-dependent? #SDGs #genderandsecurity #genderequalitypic.twitter.com/xJF51z5cUP "
上午1:42 - 2017年11月24日," The #LDCs are the battleground on which the #2030Agenda will be won or lost. The central role of access to #ModernEnergy in achieving the other #SDGs means that meeting #SDG7 will be central to the success or failure of the #2030Agenda as a whole. @UNCTADKituyihttps://twitter.com/UNCTAD/status/933686572762959872?? "
上午1:42 - 2017年11月24日," Such a great opportunity should not be wasted! https://buff.ly/2ysHd6A? #CSR #sustainability #corpgov #smallbiz #fairtrade #Ethics #FlockBN #ATSocialMedia #SDGs #BizDev #SustDev #SustBiz #standards #leadership #BusinessEthics #CorporateCulture #startups #nonprofits #codeofconductpic.twitter.com/Cs8re4W17R "
上午1:41 - 2017年11月24日," Pak @samsulwidodo102 Director General for Development of Disadvantages Areas @KemenDesa stressed the importance of Villages fund to be chanelled to SDGs.  #ICEBAST2017 #UniversitasJemberpic.twitter.com/ErFbX2oP3J "
上午1:38 - 2017年11月24日," Meeting with Islamic Solidarity Fund for Development (ISFD) to discuss how to mobilize Islamic Finance for achieving the #SDGs. pic.twitter.com/ksx5hQgGTV "
上午1:37 - 2017年11月24日," #Nordic #Cleantech in need of #financing let's meet @SlushHQ. Get in touch through the matchmaking tool @NefcoNordic #slush17 #SDGs #EnergyEfficiency #climatechange #ClimateAction http://nefco.org?http://nopef.com? "
上午1:35 - 2017年11月24日," Interesting community involvement focus areas by @HBaijars #SDGs pic.twitter.com/Ryi8lvTJOi "
上午1:33 - 2017年11月24日," Universities need to revise their curricula to match with #SDGs #WHSS #UHC "
上午1:29 - 2017年11月24日," "It's a paradox that many people are afraid of the future, when at an individual level, we are more empowered than in any moment in history", says Thomas Bagger @GermanyDiplo at #BerlinGlobalForum #SDGs #Resiliencepic.twitter.com/fHxFWKHTdT "
上午1:29 - 2017年11月24日," A new edition of the daily Global Education Report newsletter is out! #globaled #globaled17! http://www.globaledevents.com/the-global-education-report.html?? #sdgs #education "
上午1:28 - 2017年11月24日," 16days activism against gender based violence..on the go.. #UNFPA#MWASD#UNHCR#UNWOMEN#IRC#PLANinternational#GZDI#SDGs#Clearview#CRUDAN "
上午1:28 - 2017年11月24日," Retweeted Renaud Meyer (@renaudmeyer):  Pleased to launch the Nepal Business Coalition 4 #SDGs & mobilize private... http://fb.me/6WblGCRtv? "
上午1:26 - 2017年11月24日," Thanks to @dustingarrick for leading our great new article in Science on why rethinking the value of water is critical for the SDGs and a #sustainable future #water #sdgs @grp_resilience http://science.sciencemag.org/content/358/6366/1003?? @Andy2Dobson @GraftonQuentin @rhope06 @fboltz @EzzyOD @dr_alexmoney "
上午1:25 - 2017年11月24日," #THC05 seek to address a broad range of critical issues facing Africa for sustainable development goals (SDGs) include greater access to safe drinking water & adequate sanitation, higher crop yields, improved nutrition & public health, larger & more dependable sources of energy. "
上午1:24 - 2017年11月24日," Actualising SDGs: Meet some of Nigeria's young actors - EnviroNews Nigeria - http://www.environewsnigeria.com/actualising-sdgs-meet-nigerias-young-actors/?? "
上午1:23 - 2017年11月24日," Empowering the Citizens to hold accountable the Government and Health Care Providers As we embark on the achievements of #SDGs @rulisa @ccpcotton #WHSSKigali2017pic.twitter.com/VxHyCGiaMo "
上午1:23 - 2017年11月24日," http://www.PhDObserver.com? just released! #PhD news by http://www.PhDvibe.com? @ScholarStudio @ARMACAD @buzzy_digital #sdgs #phd "
上午1:21 - 2017年11月24日," #sdgs #refugees #migrants All different: All equal #LeaveNooneBehindhttps://twitter.com/HelenClarkNZ/status/933697220108365824?? "
上午1:19 - 2017年11月24日," Indeed #SDGs at work.  #GlobalGoals #16DaysUG2017pic.twitter.com/JhrRhZsqFa "
上午1:18 - 2017年11月24日," Different languages / 17 Goals / One Vision / One UN for #SDGs? and #4resiliencepic.twitter.com/HEcShl146t "
上午1:18 - 2017年11月24日," What an amazing gathering - so proud 2 b in company of our VIP speakers @HelenClarkNZ @PScotlandCSG & also all delegates-incredible #localgov stakeholders walking the walk #SDGs https://twitter.com/HelenClarkNZ/status/933841237970432001?? "
上午1:18 - 2017年11月24日," How much does Global Conflicts cost per year?  Piece by @GlobPeaceIndex https://buff.ly/2zcw36o? #Peace #War #SDGs pic.twitter.com/QO7wQuUIGx "
上午1:16 - 2017年11月24日," The Role Businesses Play In Tackling The SDGs ? Porpoise ? Medium https://medium.com/@Porpoise/the-role-businesses-play-in-tackling-the-sdgs-60aa5a7327ca?? #businesses "
上午1:16 - 2017年11月24日," Day2 at #whss2017 "towards the SDGs agenda 2030: the role of a multidisplinary approach in healthcare.  #club-sant?, #who "
上午1:14 - 2017年11月24日," Only those who risk going too far can possibly find out how far they can go.#psychology #health #houston #philanthropy #noew2017 #sdgs "
上午1:11 - 2017年11月24日," Interaction with students of Sahid Adarash Campus, Okhaldunga district on #sdgs & ageing population. pic.twitter.com/jFbwMYePzB "
上午1:07 - 2017年11月24日," Interesting to see latest data on #SDGs reporting by top global companies: #Germany & #France leading the pack. @KPMG's 2017 Survey of Corporate Responsibility Reporting also looks at #climate risks and potential impacts & #humanrights as a business issue. https://assets.kpmg.com/content/dam/kpmg/xx/pdf/2017/10/kpmg-survey-of-corporate-responsibility-reporting-2017.pdf??pic.twitter.com/LwPwfhahXW "
上午1:07 - 2017年11月24日," Welcome on board @DrFalegan, this is yet another platform for the #SDGs to thrive. Information is Power; More awareness is needed most espcially in attaining #SDG17 "
上午1:05 - 2017年11月24日," mpocHQ: RT fveglio: Thank you EPOA_EU for opportunity to share wbcsd views on business implications of #SDGs agenda at today?s #EPOC2017 in the Solvay Library in Brussels. Interesting to hear the viewpoints on challenges & opportunities around sustainabl?pic.twitter.com/6fIYTse9ie "
上午1:04 - 2017年11月24日," #innovation & #sustainabledevelopment are interconnected #SDGs @GlobalGoalsUN @ConnectSDGs @SDGaction "
上午1:00 - 2017年11月24日," More engagement and development from we look up too. Welcome @DrFalegan @ClimateWed will continue to engage you on sustainable Discussion. "
上午12:58 - 2017年11月24日," Our purpose is also to support all national partners to amplify and scale up the impact of their projects. #SDGs pic.twitter.com/1NcAjAKrcF "
上午12:58 - 2017年11月24日," Our Snr Advisor @ossap_sdgs is now active on Twitter  @DrFalegan. Kindly follow pls! This is what happens when Rose is on your TEAM . The Future is Digital Cc @estherclimate "
上午12:58 - 2017年11月24日," #clgf delegates treated to an amazing dinner after really fruitful #localgov #SDGs discussions. Thank you #malta #OwenBonnicihttps://twitter.com/OwenBonnici/status/933823706832523264?? "
上午12:58 - 2017年11月24日," And Well-functioning I won?t even comment "
上午12:57 - 2017年11月24日," Check out how @ONS is developing UK data for the UN Sustainable Development Goal indicators https://sustainabledevelopment-uk.github.io/? @UNEP @iemanet #SDGs "
上午12:55 - 2017年11月24日," And this applies to every street in every country.  Let's get on board with the #SDGs NOW! https://twitter.com/CameronAhmad/status/933691845929869312?? "
上午12:54 - 2017年11月24日," depressing! good thing we are working hard in local government to simulate the economy across the commonwealth #SDGs https://twitter.com/alexb_frost/status/933738758322688001?? "
上午12:53 - 2017年11月24日," Who would ever want an inefficient organisation? "
上午12:52 - 2017年11月24日," ...and how...? Where are we going? "
上午12:48 - 2017年11月24日," National Partner Organisation meeting underway! Discussion on the urgency of sustainability as the driver for growth in Europe. #SDGs pic.twitter.com/rqXpbNRs9q "
上午12:46 - 2017年11月24日," #Inclusivegrowth is a cross-cutting, multidimensional policy consideration. Our Seoul Implementation Agenda supports global efforts to fight #inequality and build more inclusive, sustainable #cities in line w/ #SDGs & Paris agreement #ChampionMayors http://oe.cd/seoul-imp?pic.twitter.com/c7Zy9Na950 "
上午12:44 - 2017年11月24日,"  Erion & Telekom for COMMITMENT (not just involvement) to inspire Albanians for their future- achieving SDGs means a European Albania people are proud & secure to live & work in.   I ran for #SDG17- partnerships, SDGs need private sector & everyone!!  "
上午12:42 - 2017年11月24日," #FeatureFriday - @nikolajcw   The @GameOfThrones star has been appointed a @UNDP Goodwill Ambassador to raise awareness & support @UN's SDGs, an action to #endpoverty, fight #inequality & stop #climatechange.  #SDGs #ClimateAction #GlobalGoals #sustainability #ecofriendly #greenpic.twitter.com/V9U5Hx8f0h "
